page 2	社評羅斯福總統之明智表示
page 3	羅斯福總統進一步表示美國已作最後決定迅速援助各民主國中國已表現其民眾之偉大意志美國今敢明告曰吾人必予援助
page 3	蘇聯雜誌分析澳紐英美關係
page 3	新聞學會成立掬誠發表宣言
page 3	越派員赴日商訂法泰和約泰收復失土尚感不足
page 3	松岡行踪由長春飛哈爾濱
page 3	木刻展覽在長沙舉行三天作品凡七百餘幀
page 3	英大使卡爾定下旬離滬
page 3	日反戰盟友談反侵略宗旨請美記者轉達英美報界使明瞭日人之真正心理
page 3	日方造謠不利澳洲澳當局正進行調查
page 3	川童軍檢閱
page 3	滬西賭場大張旗鼓警權被攫後之第一聲
page 3	荷日談判在僵持中
page 3	對共黨問題陪都各界抱樂觀政府願聽參政會妥謀解決此案不致影響及抗戰軍事
page 3	中研院發起擧行全國學術會議設純學術講座紀念蔡孑民氏
page 4	晉東南日軍集結萬餘分路東犯陵川我軍反攻予以重創
page 4	合眾社駐德記者被捕美總統表關懷訓令國務部立即調查德方否認係對美報復
page 4	英大使訪美國務卿商接濟法國食糧
page 4	西門演講彼有清醒的信任惡勢力將被推翻
page 4	埃英軍加緊補充籌劃二次攻勢並派大軍駐希土邊境南斯拉夫對德尚無意遷就
page 4	希特勒演說勸國人忍受犧牲
page 4	南非總理演講歐戰之展望德將促使美國參戰軸心失敗已成定論
page 4	蓋達挑撥英印關係
page 4	加空軍人員數達五萬餘
page 4	夏里曼已飛抵倫敦
page 4	蘇聯大量生產新式戰鬭機數千架已編入隊伍
page 4	新聞學會宣言
page 4	千萬義軍葬身阿境墨索里尼鎩羽回義嶙峋之高峰深谷陣地成為法西斯主義墳場
page 4	美眾聚寶盆撥款委會通過七十億撥款案明日將提交眾院討論
page 4	蔣委員長賀電原文
page 4	敘利亞人民發生騷動反對統治者財政措施
page 4	英機襲德範圍廣闊倫敦一帶亦遭突襲
page 4	高爾代表抵墨西哥備受歡迎
page 5	祁陽工業新姿態努力經營成績突飛猛晉今後注重發展中心工業
page 5	僑屬收領匯款省府改善手續力求簡便
page 5	郭德潔女士淡廣西婦女運動積極從事農村婦女組訓工作協助政府推進成人教育
page 5	霧陪都的活躍
page 5	改善三水教育公立學校款產急待整理各鄉小學應即從速恢復
page 6	羅富國總督昨廣播留英半載所得印象爭取勝利信念堅決力量強大戰時各項問題均已逐一解決
page 6	六個月內前後判然
page 6	三項主要戰爭問題君等日常在電訊內諒已
page 6	大嶼山問津記上
page 6	英國民眾沉毅鎮定
page 6	內政部通令不得濫用黨國旗海外僑胞尤須特別注意
page 6	香港四處均有準備
page 6	加緊統制交通準備徵用貨車車門塗繪消防救護徽樣優待運輸團員免徵牌費
page 6	華仁舊生會舉行慈善餐舞會
page 6	香港大學定期舉行入學試
page 6	港僑自衛團恢復之議作罷幹部人員前晚再度會商以保衛團成立已無必要
page 7	春雨綿綿場地爛督憲杯賽展期何日補賽尚待足球總會決定華聯隊人選將有變動
page 7	上海西聯足球賽空前慘案詳誌裁判不公引起觀眾墳懣法捕行兇受傷一百餘人
page 7	甲組聯賽形勢
page 7	東華戰績
page 7	球圃菜根集四十
page 7	本報小球隊改期戰中華
page 7	滬西聯足球賽東華勝葡商六比三贏得痛快淋漓克厚三球足值二萬金
page 7	星島延期返港後日可抵步
page 7	思德杯排球賽東方大勝南乙三比零局勢成一面倒週末東方戰悠思
page 7	澳學生籃球隊犯港期近港隊準備迎抗
