page 2	社評轟炸中的教訓與進步
page 3	漢宜路上劇戰未已湘北我軍陣地穩固Ｘ機連日狂炸粵北各縣
page 3	海南島Ｘ最近又圖蠢動
page 3	湘鄂贛線全被我軍控制
page 3	進攻鄂中失敗Ｘ酋岡村極為羞憤電Ｘ軍部懲指揮官
page 3	五卅紀念滬停止下半旗
page 3	藏慰勞團電抗戰將士致敬
page 3	中樞聯合紀念週馮玉祥報告要挖去身上腐爛的肉增長新生的抗戰力量
page 3	北戰場最前線伊盟準格爾旗令德寄自榆林
page 3	德輪被扣駐滬德總領事向日提出抗議
page 3	葡輪一艘在吳淞被騎劫
page 3	磽瘠的贛北在砲火下開發着秀金寄自修水
page 3	閩參議會前日圓滿閉幕
page 3	同情我抗戰巴黎的兩個集會
page 3	偽滿邊境戰事激烈日方作勝利之宣傳謂蘇機多架被擊落
page 3	滇參議員名單國府昨明令公布
page 3	英美法三國大使將在滬會商合作美報要求撤回駐日大使滬Ｘ強詞解釋搜查外輪
page 3	皖我軍襲合肥Ｘ兵死傷極多
page 4	英蘇法互助協定週內可望成立反侵略集團佔優勢必要時將擴至遠東
page 4	史達林審查中
page 4	蘇聯實力堅強
page 4	達拉第演說重申法國和平政策願與各國友好相處
page 4	羅王赴土途中在邊境巡狩外長亦將聘土
page 4	英葡邦交密切張伯倫曾致書葡總理歡迎其在議會之演說
page 4	義法西斯黨人作自我宣傳謂墨索里尼對歐州問題不願以戰爭作解決工具
page 4	法西斯黨前秘書鼓勵義人反法
page 4	蘇議會民族院討論預算案維斯寧報告紅軍實力決不畏任何外來侵略
page 4	沒收外僑產業墨給價賠償第一期付款已交美政府
page 4	英退役軍人舉行年會決為保衛祖國而戰
page 4	希特勒活偶像自白他本來是馬克西米林鮑爾現在却變做了希特勒的替身
page 4	英工黨首領阿特里食草菇中毒在車上染病
page 4	義法西斯婦女戎裝大游行墨索里經演訪問演說讚揚
page 4	英攝政委員會批准徵兵法案畢業學生另訂通融辦法
page 4	赫爾發表演說抨擊孤立政策所提修正中立法意見兩院外委會將有劇辯
page 4	德西陲防線已發現缺點甚多希特勒力謀補救
page 4	傳英內閣閣員將有局部更動邱吉爾或將出長海軍
page 4	英王偕後赴溫古華加拿大總理金氏在班夫設宴招待
page 4	試探又失敗
page 4	英法蘇交涉進步
page 5	廣東臨時參議會首屆會議前晚閉幕官民精誠合作戮力赴難參議員赴前線慰勞考察
page 5	開幕典禮紀盛
page 5	電慰軍政領袖
page 5	海口Ｘ敗退沙口鶴山沿岸殘Ｘ現已肅清河清九江仍有Ｘ艦窺伺
page 5	迂迴南路計劃失敗陽江Ｘ登陸不逞沿岸團隊英勇抗戰汽艇被我擊沉數艘
page 5	古鼎華兼第五游擊區司令
page 5	澳門葡國紀念
page 6	學賑會發動慰勞將士書信運動下月一日至十五日為徵集期間籌組女學團行將就緒
page 6	吉隆坡僑胞回國服務團抵港團員七三人鍾醇生率領稍事逗留拔隊出發東江
page 6	北平來客談來
page 6	加拿大僑團績損鉅款並贈五路軍救傷車
page 6	國民政府褒獎何明華獎狀已送達何氏
page 6	旅港鶴山商會歡送回鄉服務團由馮祝萬主持授旗典禮本港各團體多派員參加
page 6	本港印刷業勞資雙方談判減時
page 6	粵女青年會舉行會員大會
page 6	百餘僑團舉行宣誓日期已定下月三日人數將在六千以上
page 6	中環街市攤販聯請當局減租租價負擔過重生意清淡一部已因虧累放棄營業
page 6	颱風進襲途中忽轉方向他去在海陸雙主面登陸吹散海上各輪電港報告風勢
page 6	寶興輪刻尚留粵未返
page 6	盧伍聯姻婚禮盛況
page 6	時症報告
page 6	昨午駱克道一貨倉瓦面塌下順利建築店夥伴吳龍適在倉內被壓受重傷
page 6	陶淑女中賣物會收入尚佳
page 6	華人文員會籌組婦女團委籌備員下月成立
page 7	乘長風破萬里浪南華會今日遠征一行十七人葉北華名落孫山途經南洋各屬九月中旬返港
page 7	澳洲參加世運男女選手將不超過二十人
page 7	芬蘭人以沐浴作為一種訓練三
page 7	南國台杯網球隊不難淘汰義國德瑞之戰二比一佔優勢比利時五比零全勝挪威
page 7	昨日棒球又展期比賽
page 7	蘇聯體育五年計劃各聯邦已積極推進
page 7	女子籃球義賽展期開戰中青房油漆未乾
page 7	陸上速度可望本年內到達最高峯
page 7	過去四月重要貨品進出口貿易除烟酒外其餘均銳減
page 7	燃料來源少售價仍昂
page 7	華北花生出口數量大減
page 7	米石來源銳減過去四月內運港數量共計二百六十餘萬擔
