page 2	歐局的新重心
page 3	鄂中晉西激戰甚烈襄河猛搏Ｘ軍竄入鍾祥海南島我軍民予Ｘ重創
page 3	鍾祥爭奪戰
page 3	晋Ｘ犯靜樂
page 3	漢口法租界昨橫被搜查日哨兵虐待使館職員蘇聯總領已提出抗議
page 3	平津我軍聲勢浩大Ｘ軍感受威脅
page 3	第三次教育會議蔣委員長訓詞教育上最基本的任務在於國民人格的陶冶
page 3	廣州Ｘ軍密派無恥男女入內地做間諜
page 3	偽蒙哨兵反正
page 3	Ｘ議員赴滬向Ｘ僑民宣傳鼓吹防止悲觀心理加深
page 3	冀南激戰Ｘ侵鉅鹿受挫
page 3	渝獻金運動將展期一週商界表示獻金到底
page 3	黔省壯丁自動請纓殺Ｘ
page 3	地方銀行當局利在渝集會孔院長親臨訓話指示應注意事項
page 3	戈斯默昨午訪王外長
page 3	Ｘ壟斷運輸外商束手無策華北金融惡化
page 3	西南運輸處組運輸人員訓練所
page 3	Ｘ機襲寧夏在城郊投彈
page 3	粵設實驗縣為改進省政之基
page 3	拉卜楞慰勞團返抵夏河舉行擴大宣傳
page 3	傳駐滬日領事向法租界有要求參照公共租界辦法英報發出正義呼聲
page 3	羅德懿霞深明大義中央將予褒揚
page 3	廈Ｘ恐慌血魂團極活躍
page 3	掃蕩蘇北滬Ｘ通知外僑
page 3	楊廉被逮正在審訊中
page 4	英對遠東問題將採積極行動傳將再貸我信用借欵並擬對日施經濟壓力
page 4	印國民大會代表與總督談判解決萊考特紛爭問題巴那里斯聖城起衝突
page 4	摩洛哥總督召開軍事會議義地中海空軍奉令開往北非
page 4	波羅談話實際已經結束問題均獲妥協
page 4	日密謀對付蘇聯集中軍艦將強佔漁區蘇偽邊境又發生衝突
page 4	弗朗哥宣佈今後政綱需要全世界同情諒解德義允擔保領土完整
page 4	本報記者潮汕視察記四黑了都市亮了農村二戰事不過是繁榮的搬場
page 4	卡沙杜廣播作和平呼籲
page 4	Ｘ臨時軍費追加預算提眾院審查所謂兩種新國防計劃陸軍對蘇海軍對英美
page 4	加泰基那港叛變已平息
page 4	戈林抵義戈培爾與蓋達竭力攻擊英國
page 4	眾院議員質問情形
page 4	羅斯福將促參院議員迅通過國防案
page 4	勇於自殺
page 4	獻金到底
page 5	Ｘ擾粵南肆無忌憚法租　州亦被空襲七機橫空而至諸般作態廣州灣當局已報告政府
page 5	Ｘ機飛擾　州
page 5	四邑航界業組織戰時合作社維持交通救濟工友本星期內即可成立
page 5	法美艦在海口
page 5	粵南Ｘ情動向
page 5	石龍無Ｘ蹤水南橋巳被炸毀
page 5	Ｘ再擾中山黃閣逼組維持會不遂又殺人放火鄉民潛返三灶島聞有三人遇險
page 5	粵四區專員池中寬赴任
page 5	吳飛月初就粵省委
page 5	國恨家仇澳四界會贈匾難民
page 5	閩南破獲小厦門走私機關林怡橋等在嚴訊中
page 5	廣東省財政廳二月份工作報告
page 5	澳門商會改選廿七屆新值理徐偉卿等獲選
page 5	李潔之將往西北考察游擊戰
page 5	澳門救濟難童
page 5	惠陽獲運鐵匪
page 6	明日婦女節紀念會籌備就緒宣傳隊昨赴各工廠工作三八特刊付梓並有徵文比賽
page 6	粵紅會救護隊徵求隊員廿名報名由明日起至十三日訓練半月出發前線服務
page 6	聯青社籌款公演前夜聖保羅女生義演
page 6	中旅台柱唐若青別來無恙返國五月昨晨安抵香島道出桂林大受當地歡迎
page 6	寶鼎明珠太平明晚公演港督將往觀劇
page 6	印警擊斃大南蛇長約二丈餘重七十餘斤
page 6	Ｘ參謀長田中昨日返粵開放珠江問題無結束允懲處轟炸羅湖機師
page 6	總理忌辰紀念會在皇後戲院舉行推定孫夫人等任主席團賑聯會昨舉行常務會議
page 6	怡生輪在北海被Ｘ艦截搜
page 7	麗華杯足球華聯對西文員定期廿六日決賽澳港埠際賽決派甲組出席港菲大戰收入一萬三千元
page 7	南華乙組足球增強實力張滿榮加入作戰
page 7	體育教育上的一個貢獻四
page 7	公開草地網球展開前哨戰江道章司徒璧合作佳妙李安納蔡永善苦戰退敵
page 7	外匯牌價俱不動英美匯先靜後緊申匯亦略緊華商吸進達百萬
page 7	股票市仍堅穩成交逾十萬元香港匯豐銀行股成交最多投機家多望恢復期貨買賣
page 7	八九金市先鬆後堅買戶略多價稍魂漲
