page 2	社評讚英蘇並勗反侵略陣線
page 3	英美方面紛紛盛傳羅斯福邱吉爾會晤北大西洋舟中兩領袖促膝傾談
page 3	日本侵泰聲中艾登提出警告任何威脅泰國獨立完整行動英國皆認為直接關切之事件
page 3	美國繼續執行撤退遠東僑民
page 3	英政府保證對日絕不放鬆切實執行經濟封鎖制日行動不尚空言
page 3	日本南進北侵無異自蹈絕境英美將有重大決策
page 3	美國軍艦巡弋南洋兩重巡洋艦駛抵澳洲
page 3	日軍侵蘇嘗試遭嚴重打擊大批日傷兵運抵哈爾濱駐日蘇使訪晤豐田
page 3	阿拉斯加的戰略價值北太平洋是日本最大的弱點一
page 3	麥克納特主張採堅決政策中英美荷加緊團結阻止日本侵略妄動
page 3	荷印愈堅定信賴民主國必獲勝利加緊擴軍充實防衛力
page 3	日本糧食大鬧恐慌水患極為嚴重稻米損失甚大
page 3	旋風機將由美運華並有槍砲及軍用器材
page 3	近衛謁日皇並曾與木戶商談
page 3	印度與英國軍需生產有重大貢獻在戰略上佔重要地位
page 3	黑龍江省府在前線成立
page 3	美國物價日趨高漲物價管理法案已提出
page 3	維希所提保證美採保留態度
page 4	基輔附近激戰傳德將發動新攻勢
page 4	美援蘇國用物品第一批連往蘇聯不顧日本干涉取道太平洋
page 4	美遠東撤僑政策仍不變
page 4	滇緬鐵路建設公債在美發行結果良好各省經建積極發展中
page 4	我擬增加絲產運往美國推銷
page 4	陳介在美演說各國如對日加緊制裁我必能迅速擊敗日本
page 4	加拿大佛居埃公司願協助我對加貿易函本報囑代轉知我各廠商
page 4	東非英軍佔領義屬亞薩伯港
page 4	蘇挪復交在英正式換交
page 4	自由法軍組傘兵團
page 4	湘可望豐收米價已下跌
page 4	沙市敵竄犯不逞浩子口失而復得偷渡湘江敵大部就殲
page 4	德國第五縱隊在日本二日本軍政外交部都受支配
page 4	倫敦泰晤士報評論我抗戰前途中日戰事再延長四年日本局勢將愈見艱危
page 4	荷印僑胞團體電朱德毛澤東請速停止襲擊友軍
page 4	糧食庫券下月發行分六種正趕印中
page 4	敵機肆虐飛湘陝甘投彈
page 4	贛東我軍出擊湖口以南殲敵甚眾
page 4	英美領袖晤談
page 4	艾登外表聲明
page 4	廣州汕頭江會各地敵僑婦孺奉令撤退
page 4	美將派員赴英視察糧食情況
page 4	赴緬訪問團定廿七日由陪都出發
page 4	妨害國幣懲治條例施行期間延長兩年
page 4	五齡幼童捐錢購買公債
page 5	陝西水利建設漢惠渠完成經過全渠共長三十一公里可灌溉田十萬餘畝
page 5	自流井視察記上
page 5	淺水木炭摩打船粵桂戰區經濟委會改造成功試航結果成績甚為滿意
page 5	日方在廣州灣強硬接收緝私權人心阢　商場曾起騷動華界積存貨物積極清運
page 5	粵省各縣儲鹽備荒應儲總額三十萬擔現已存儲百分六十
page 5	婦女慰勞部會紀念成立週四年蔣夫人致辭勉繼續努力各服務隊報告工作經過
page 5	韶關戒除奢侈浪費各機關召開宣傳大會
page 6	立法局財委會開會追撥政費七百餘萬並討論官米及小販問題
page 6	公平糶米會在灣仔街市籌備發售白飯司徒永覺列舉各統計表明柴米消費價上漲
page 6	醫務部監通告舉辦未註冊之西醫登記此種醫生只准戰時服務不能藉引在港執業行醫
page 6	戰時經濟委員會研究航運分配會中曾提議徵奢侈品稅輿論反對輪船載運馬匹
page 6	宏記辦館購債二十五萬獲我當局嘉獎
page 6	國民大學新生揭曉
page 6	聯美中航最近航行情形否認增加新線
page 6	平正會計學校會計人員受粵府聘用
page 6	今日嶺大同學舉行同學日並慶祝鍾榮光校長壽辰今晚公演塞上風雲名劇
page 6	警探大隊人馬夜破大澳匪窟沙螺村內匪黨八男二女全被搜獲解返九龍懲治
page 7	南華會執委會議成立足球委會顏成坤等九人即當選為委員梁哲若任足球部副主任
page 7	馬來亞足球大戰星聯勝陸聯一比一仍保持南部霸業十八將與檳城爭奪錦標
page 7	德國拳術家希墨林獲二等十字勳章
page 7	全港校際游泳賽廿三開戰鑼十八十九一連兩天舉行預賽域多利會希望各校踴躍參加
page 7	夏令籃球賽委會續辦銀牌賽本月十日起開始報名詳細章則日間即公布
page 7	樂斯杯警察戰珠江初級金銀對童訊
page 7	股票仍欠靈活買賣稀少成交二萬餘元
page 7	外匯牌價申匯略漲英匯美匯市況靜寂
