page 2	社評民主精神的勝利
page 3	租借法案批准成立美總統決加速援英擴大援華程度寇里到後決定
page 3	各派消除畛域一致擁護新法
page 3	眾院準備表決龐大擴軍預算
page 3	精神動員兩週年蔣會長廣播全文
page 3	美於軍用品外更運糧食援英
page 3	西貢法方人士痛恨日陰謀並責官方不將經過揭露
page 3	泰越放棄外交自主
page 3	貝克博士將任滇緬公路總監赫爾否認使節對調展緩
page 3	我方注視日泰談判
page 3	紐約時報對我如此忠告
page 3	農林會議開幕同時舉行植樹典禮
page 3	國府明令褒揚胡石青
page 3	滬出錢勞軍認捐二百萬又一　被擊傷
page 4	贛北我軍進展順利觀音寺等據點已先後克復
page 4	美京一般觀察松岡訪歐目的對美日關係有損無益
page 4	德義論調
page 4	德國展開潛艇攻勢一週間英輪損失十餘萬噸造成戰時第四位最大數字
page 4	松岡行前神宮默禱攜有花瓶古畫以備進貢盟主
page 4	辛克萊報告英空軍實力美國援助必可及時趕到德義損失已超過五千架
page 4	話說當今英格蘭六輿論廣播宣傳五民治精神的測驗
page 4	駐保英公使險遭暗算行囊中被人藏炸彈旅舍被炸多人重傷
page 4	德軍壓迫挪人蘇報均予刊載
page 4	蘇聯紅軍人事調動
page 4	白金漢宮又遭轟炸
page 4	加羅爾行跡遷居里斯本郊外
page 4	傳英增兵希臘希準備保衛色雷斯區德使訪南外長作長談
page 4	維希望美出頭調解英法糾紛準備提出具體保證不以糧食輸往德義
page 4	海戰擴大中
page 4	松岡小心
page 5	惠博東莞戰局我取得主動地位克復龍岡後續攻淡水
page 5	滬高二分院院長徐維震被綁經過公畢返寓暴徒預伏綁架眾信此舉純係政治動機
page 5	西康日記二四五第十三編永寧麗江途中
page 5	參政會休會後全部決議案整理發表
page 5	澳門禁止蔬菜出口澳門十二日專訪
page 5	購運洋米入口補償意外損失粵省府公布施行細則
page 5	蘇聯商輪駛滬加入遠東航線滬與海外間貨運暢達
page 6	全港僑團學校聯合紀念國父忌辰參加者數千人莊嚴肅穆簡又文述國父生平史略
page 6	周壽臣爵紳談勸募戰時公債集中精神辦理此項工作定期召開會議商討辦法
page 6	移民局長富勵士昨因病入醫院明日庭訊恐不能出席何時繼續審理尚未定
page 6	政府伐新界松柴規定價目發售近數日祇在九龍墟批發柴行商會昨曾上呈當局
page 6	羅文錦表示僑胞可作證
page 6	人口調查今日開始
page 6	巴城僑領丘元榮即將由粵赴渝
page 6	大嶼山耕地請領之手續可向大道中醫務署申請申請書須填明者十四項
page 6	中央戲院中央戲院今天五場
page 6	大會堂圖書館將於短期內結束以樓下作後備警察總部書籍將移其他地方保存
page 7	緬華隊來港期近港方積極備戰協會南華今日會商場地辦法東方廿六征菲阿牛有意隨軍
page 7	特別銀牌昨抽籤南華戰約瑟東方槍頭向外對水兵國際杯決賽英格蘭排出新陣
page 7	星島足球打勝華聯
page 7	本報小球隊週末戰中華
page 7	旭和杯戰事平淡海軍和陸軍雙方防穩固前鋒射門乏術零比零各無建樹
page 7	正廷杯籃球賽南華旗開得勝三四比一三氣走南商友誼賽青支戰贏華仁
page 7	公開女籃球賽明晚頒獎另有表演兩場
page 7	外匯牌價俱無變更美匯沉寂申匯穩定
page 7	股票續略好轉昨日成交七萬餘元
page 7	國幣市况穩定但靜
page 7	四四金市稍為穩定
