page 2	社評金融戰的第二幕
page 3	精神總動員昨實施蔣委長向全國廣播期望同胞努力勿苟且偷安
page 3	怎樣實行精神總動員一林主席昨在中樞紀念週報告
page 3	賴債滬Ｘ領館職員對外記者詞窮
page 3	冀省百餘縣大部在我手中Ｘ偽完全控制者僅兩縣
page 3	渝市慶祝五一勞動節參加工友約萬人抗戰情緒情緒極強烈
page 3	滬郊砲聲傳南匯有戰事
page 3	滬五一節法租界禁懸旗
page 3	Ｘ偽合辦兩企業昨在滬成立壟斷交通擾亂金融倫敦商界表示憂慮
page 3	粵Ｘ圖進窺台山我空軍飛岳陽轟炸
page 3	外部情報司長李迪安出使古巴內定郭斌佳繼任
page 3	汪離河內赴越南南部調養
page 3	Ｘ機昨又襲甬滬寧波同鄉會派醫生往救濟
page 3	國府命令
page 4	蘇聯努力進行黑海國家集團抵抗德義武力侵略英土談判傳已完成
page 4	德報論調對英和緩仍大肆攻擊波蘭企圖破壞英波間和諧波即將答覆德備忘錄
page 4	五一勞動節希特勒演說自稱愛好和平反責他人黷武
page 4	正義愈彰美民眾反對軍需口運日
page 4	紐約世博開幕羅斯福演說祈求和平會場宏偉為前所未有
page 4	希特勒的諾言他能反覆的加以保證也能隨時的予以背棄
page 4	日朝野對蘇敵視甚深認戰事將不可避免國內經濟已瀕絕境
page 4	德陸軍總司令飛往里比亞行前與義相長談力勸其貯藏軍火
page 4	立陸軍總司令將聘問華沙波立邦交可望調整
page 4	菲律賓獨立問題泰丁斯擬提新法案
page 4	紀念五一勞動節共產國際發表宣言要求英美法工人聯合援助我國制裁黷武者
page 4	日政友會內鬨因總裁問題裂為兩派眾議員二人引咎辭職
page 4	羅外長抵義與義政府當局會商各種問題
page 4	法艦訪葡在葡京勾留三日德艦將接踵而至
page 4	蔣委員長的演詞
page 5	潮汕抗戰決心嶺東交通澈底破壞張發奎親臨濱海據點指示機宜汕頭市迫令工廠搬遷工人撤退
page 5	吳菊芳蒞汕發動婦女參加抗戰
page 5	西江戰事鶴山再起爭奪江會我已反攻
page 5	雷州海關禁止含雜土糖出口糖商請求財部解禁
page 5	吳飛對本報記者談華南戰局極樂觀潮汕粵南均有準備中山團隊尚待調整
page 5	尚仲衣豐順覆車殞命
page 5	廣州灣教育難童
page 5	汕頭市長巫琦會見記疏散人口為的避免無謂犧牲潮汕說不定會變成Ｘ人墳墓
page 6	節食節用學賑會探訪隊昨日開始募捐二百七十餘人出動成績甚佳五七舉行盛大聯誼會
page 6	免費電報昨日發出四千通以英兵佔最多數
page 6	青年會舉辦故事演講競賽歡迎十二歲以下之兒童參加明日開始報名本月下旬舉行
page 6	中環街市明日開幕
page 6	五一勞動節勞動界一部休假慶祝廣九路工友開會紀念
page 6	雪廠街水管爆裂交通被阻達一小時
page 6	國民公約宣誓日就普遍香港仔區學生今日舉行昨日宣誓者男女共四校
page 6	澳門四界服務團
page 6	粵慰勞會募衣運動收到實數萬餘套
page 6	業主也有苦衷業主聯合會通告會員死舉困難將入稟政府
page 6	緊急難民會週內募欵建設難童學校
page 6	庚款留英生將在港滬舉行考試
page 6	嘉屬學會昨假嘉屬商會成立
page 7	南華會足球隊本月底出征南洋昨召開會議人選正考慮中明日練習賽對抗堅脫軍艦
page 7	香港埠際足球隊三比一慘敗惠堂抽筋減色榮照未曾出場菲隊志在必得攻勢旺盛
page 7	英足球名將兩人受傷
page 7	昨日雙打半決賽徐家兄弟逞能直落三勝林添德黃錦熙
page 7	全港公開棒球賽星期六開始全部秩序公佈賽期兩月岷甸奴號又有新軍加入
page 7	英國台杯代表選出五人
page 7	外匯牌價均不動英美匯市況穩靜申匯市況略淡華商頗多拋出
page 7	昨日金條成交達三千餘盎斯
page 7	桐油供不應求價再飛漲
page 7	八九金市略淡且靜成交不多價亦略降
page 7	股票市仍不振全日成交僅五萬餘元
page 7	財部確定施行戰時金融政策愛惜民力增進生產開發經濟節省物力財力貢獻國家
