page 1	行政院改組登場
page 2	泰安方面大戰復起正太西段爭奪陽泉
page 2	豫北戰事又緊滑縣濬縣國軍撤出
page 2	王叔銘抵平昨飛石門視察
page 2	國大代表立法委員選舉總事務所條例立法院昨日通過之全文
page 2	梁秋水抵滬謂來調停民社黨內爭
page 2	參政會大會通知昨已發出
page 2	林彪被刺死說長春續獲經過詳情
page 2	田園將蕪豈能再打請看今日山西景象
page 2	襲學遂談接收大連關係微妙牽連國際旅大未劃界旅順問題更困難
page 2	省參議員不必改有給職
page 2	立法院通過銀行法資本最低額全國分區核定
page 2	東北美兩武官昨由共方釋放
page 2	國府委會每兩週一次政院將決定各部次長人選國防委會昨公告宣布撤銷
page 2	國府委會會議規程
page 2	公務員加薪有望底薪可能加至千五百倍生活津貼改為三十萬元
page 2	政府期待美國貸款即可開始接洽並望增為十億
page 2	各地物價飛漲民食尤堪憂慮
page 2	鄧錫侯即飛京將真除川主席
page 2	張群將招待外賓
page 2	蔣主席蒞中訓團訓話
page 2	港禁黃金入口人民黃金均須售與港府
page 3	外長會議草率終場下次會議將在倫敦舉行馬歇爾定今日飛返華府
page 3	奧約陷入僵局馬帥建議由聯合國大會審查
page 3	關於四強防德公約美蘇外長一場激辯
page 3	外長檢討對德和約疆界經濟問題下屆會議討論
page 3	美國軍艦將讓與希臘海軍
page 3	蘇聯駐美大使諾維柯夫返任
page 3	法裁減政費藉以平衡預算
page 3	勿從火坑中求繁榮宋子文政策失敗的教訓
page 3	美眾院討論救濟法案反對派認為與防共政策牴觸
page 3	屠殺全村罪在不赦納粹特務處死刑
page 3	促進美蘇諒解華萊士在法京發表意見
page 3	埃擬加入美元集團軍事代表團參觀美原子工廠
page 3	美報贊成援助希土眾院通過該法案無問題
page 3	鄧菲爾離平飛抵東京
page 3	美援助希土議案全文
page 3	國際小麥協定英決定不簽署
page 3	打開美蘇對韓僵局英擬支持我國建議
page 3	齊柏林飛船建造人將赴美實驗飛行術
page 3	日眾院今日選舉預料保守黨仍將居優勢
page 3	美物價管理局奉杜魯門令撤銷
page 3	英最新式航艦下水有防禦原子彈設備
page 3	戴高樂談新民主運動
page 3	討論巴勒斯坦問題聯合國特別大會即召開
page 3	邱吉爾演說抨擊巴勒斯坦政策
page 3	國際郵政會議我派四代表赴法出席
page 4	物價急劇波動聲中都盼生活指數解凍四區棉紡業及報業職工等昨均要求總工會轉呈政府
page 4	產業工人配購物品政院規定五項辦法
page 4	雜船停泊限定區域港委會昨決議八點
page 4	仙樂舞宮樂師要求加薪資方呈請社局調處
page 4	整理港務永久機構代表推定
page 4	足球遠征軍會師星島今午戰漢城
page 4	星島能否抵滬請聽電台廣播
page 4	文協觀光團杭州遊作罷
page 4	油輪公司業務即將展開
page 4	招商局滬津線元培號即加入行駛
page 4	上海防癆會昨開常務會一月來就診者三千餘人
page 4	民社黨張君勱在滬籌設大學
page 4	市長盃籃球複賽哥倫布番將揚威
