page 1	值得表揚的人犯移墾工作
page 2	濟南外圍情勢轉弛遼東共軍進攻通化
page 2	蔣總裁昨在全會致詞政府決改組還政於民謂財政相當穩定外交政策正確
page 2	日本半月一暗淡險巇的前路
page 2	大會將展期閉幕今日改選中常委三分之一第七次全代會決展期召開
page 2	全會後即改組政府京中昨有重要會商當局及青民兩黨將合訂方案
page 2	傳美國考慮貸款英一週刊訊蔣主席下月訪美
page 2	陝北善後祝紹周談話
page 2	東北軍事檢討會議杜聿明抵長春主持
page 2	吉長鐵路修復長洮線將向農安搶修
page 2	中長路陳延炯代理事長
page 2	曼徹斯特導報評國軍克延安
page 2	東北之煤供應滬津每月可有三萬噸輸出各地存謀甚豐惟缺乏車輛
page 2	國軍收復鄂旗王府
page 2	張嘉璈俞鴻鈞會談將對金融問題提供辦法
page 2	銀樓開業問題即可決定辦法
page 2	滬煤商請願要求繼續合理配給用煤
page 2	羅逆君強不死檢察官提抗告
page 2	桂永清返京海校將遷青
page 2	留學生一部可行矣凡獲外國獎學金者得領護照
page 2	泛亞會議西藏亦派代表參加
page 2	白崇禧抵屏東
page 2	王鳳喜案即可解決美方接受我要求
page 2	胡適返平談話北大經費太少京商無成就六十在望二十年的自述未寫
page 2	國府命令褒揚錢智修
page 2	平槍決三戰犯
page 3	美代理國務卿阿契遜釋對華政策謂與對希政策無不符合之處並稱美國從未採取放手政策
page 3	美將在韓單獨行動或組朝鮮臨時政府美組環球包圍蘇聯防線
page 3	看大連與從大連看本報特派員呂德潤寄自瀋陽
page 3	希共領袖遭人狙擊
page 3	法閣遭遇新危機共產黨拒絕支援對越軍費案賴馬迪要求對政府投信任票
page 3	夏威夷為美一州美眾院國土委會通過
page 3	胡志明辭兼外長職
page 3	四外長討論奧國和約決定邀請奧地利代表與會貝文提出德政府形式意見
page 3	美國援希的內幕
page 3	裁軍問題聯合國下周起討論
page 3	巴拉圭內戰擴大陸軍大部份倒戈
page 3	為輸法煤斤問題皮杜爾貝文舌戰
page 3	處理德國問題外次初步總結程序討論
page 3	世界第一大砲將在德境拆毀
page 3	美撥款救濟各國南斯拉夫不在內
page 3	日本軍事地位美國甚為重視
page 3	重慶行情
page 4	准許早晚設攤地點市政會議昨日通過黃浦老閘區日間禁止設攤
page 4	露天菜販與理髮攤另有規定
page 4	失業技工語酸辛上函參會求工作至少希望能做添寫路牌工作
page 4	准許設攤地點一覽
page 4	工人停工老闆關門
page 4	商務勞資糾紛談判轉入僵局
page 4	各業職工差額金社局解答應一律照發
page 4	西服店工潮社局將設法調解
page 4	婦女工藝品合作社理監事已選出
page 4	解雇潮蔓延擴展昨又有三家呈請泰興染織廠等解雇百餘人
page 4	本市走私時有大批緝獲
page 4	工協會商討國營工廠出售
page 4	外交人員攜帶禁輸入商品須由使館領進口證
page 4	八字電話損壞待修
page 4	清寒生貸金會設於市教育會內
page 4	二屆籃球決賽華聯汕隊火併
page 4	四月四日旅行杭州青年旅行參觀團主辦全部費用六萬五千元
page 4	大學足球聯賽交大出戰震旦下午二時半於震旦球場另場復旦對同濟在滬江
page 4	中學籃球賽今日男女五場
page 4	市長盃半複賽青白出戰優游下午三時在逸園球場
